country,date,total_cases,new_cases,total_deaths,new_deaths,region,disease
Canada,2003-05-17,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-19,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-20,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-21,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-22,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-23,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-24,140.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-26,148.0,8.0,26.0,3.0,North America,SARS
Canada,2003-05-27,148.0,0.0,26.0,0.0,North America,SARS
Canada,2003-05-28,149.0,1.0,26.0,0.0,North America,SARS
Canada,2003-05-29,151.0,2.0,26.0,0.0,North America,SARS
Canada,2003-05-30,159.0,8.0,28.0,2.0,North America,SARS
Canada,2003-05-31,188.0,29.0,30.0,2.0,North America,SARS
Canada,2003-06-02,198.0,10.0,30.0,0.0,North America,SARS
Canada,2003-06-03,213.0,15.0,31.0,1.0,North America,SARS
Canada,2003-06-04,216.0,3.0,31.0,0.0,North America,SARS
Canada,2003-06-05,218.0,2.0,31.0,0.0,North America,SARS
Canada,2003-06-06,219.0,1.0,31.0,0.0,North America,SARS
Canada,2003-06-09,229.0,10.0,32.0,1.0,North America,SARS
Canada,2003-06-10,229.0,0.0,32.0,0.0,North America,SARS
Canada,2003-06-11,230.0,1.0,32.0,0.0,North America,SARS
Canada,2003-06-12,238.0,8.0,32.0,0.0,North America,SARS
Canada,2003-06-13,242.0,4.0,32.0,0.0,North America,SARS
Canada,2003-06-16,243.0,1.0,32.0,0.0,North America,SARS
Canada,2003-06-17,247.0,4.0,32.0,0.0,North America,SARS
Canada,2003-06-18,246.0,0.0,33.0,1.0,North America,SARS
Canada,2003-06-19,245.0,0.0,34.0,1.0,North America,SARS
Canada,2003-06-20,245.0,0.0,34.0,0.0,North America,SARS
Canada,2003-06-23,246.0,1.0,35.0,1.0,North America,SARS
Canada,2003-06-24,249.0,3.0,37.0,2.0,North America,SARS
Canada,2003-06-25,250.0,1.0,37.0,0.0,North America,SARS
Canada,2003-06-26,251.0,1.0,37.0,0.0,North America,SARS
Canada,2003-06-27,251.0,0.0,37.0,0.0,North America,SARS
Canada,2003-06-30,252.0,1.0,37.0,0.0,North America,SARS
Canada,2003-07-01,252.0,0.0,38.0,1.0,North America,SARS
Canada,2003-07-02,252.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-03,251.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-04,251.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-07,251.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-08,250.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-09,249.0,0.0,38.0,0.0,North America,SARS
Canada,2003-07-10,250.0,1.0,38.0,0.0,North America,SARS
Canada,2003-07-11,250.0,0.0,38.0,0.0,North America,SARS
China,2003-03-18,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-19,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-20,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-21,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-22,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-24,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-25,0.0,0.0,0.0,0.0,Asia,SARS
China,2003-03-26,792.0,792.0,31.0,31.0,Asia,SARS
China,2003-03-27,806.0,14.0,34.0,3.0,Asia,SARS
China,2003-03-28,806.0,0.0,34.0,0.0,Asia,SARS
